"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"283","C15124",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"284","C15138",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"285","C15142",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"286","C15152",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"287","C15154",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"288","C15156",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"289","C15158",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"290","C15160",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"291","C15162",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"292","C15164",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"293","C15166",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"294","C15168",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"295","C15176",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"296","C15190",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"297","C15200",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"298","C15202",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"299","C15204",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"300","C15208",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"301","C15210",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"302","C15212",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"303","C15214",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"304","C15222",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"305","C15248",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"306","C15256",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"307","C15260",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"308","C15276",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"309","C15292",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"310","C15294",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"311","C15298",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"312","C15308",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"313","C15322",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"314","C15324",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"315","C15334",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"316","C15346",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"317","C15352",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"318","C15358",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"319","C15362",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"320","C15366",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"321","C15378",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"322","C15386",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"323","C15394",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"324","C15404",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"325","C15406",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"326","C15412",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"327","C15416",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"328","C15432",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"329","C15434",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"330","C15436",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"331","C15444",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"332","C15446",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"333","C15448",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"334","C15452",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"335","C15458",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"336","C15460",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
